Frame ID; Time; Collision Count; Red Mushroom Count; Brown Mushroom Count; RL Position X; RL Position Y; RL Position Z; Game Position X; Game Position Y; Game Position Z; Navigation State
921;00:10:48;0;0;0;-1,966427;0,9596343;-0,06937474;0;0;0;nothing
922;00:10:50;0;0;0;-1,962206;0,959957;-0,06990159;0;0;0;nothing
923;00:10:51;0;0;0;-1,957926;0,9603592;-0,07026833;0;0;0;nothing
924;00:10:52;0;0;0;-1,953853;0,9607871;-0,07047176;0;0;0;nothing
925;00:10:53;0;0;0;-1,949493;0,9612707;-0,0706507;0;0;0;nothing
926;00:10:54;0;0;0;-1,946742;0,9613408;-0,07142359;0;0;0;nothing
927;00:10:55;0;0;0;-1,942124;0,9619187;-0,07116032;0;0;0;nothing
928;00:10:56;0;0;0;-1,937591;0,962393;-0,07110375;0;0;0;nothing
929;00:10:57;0;0;0;-1,933749;0,9627757;-0,07117748;0;0;0;nothing
930;00:10:58;0;0;0;-1,92917;0,9633117;-0,07064074;0;0;0;nothing
931;00:10:60;0;0;0;-1,924616;0,9637911;-0,07033402;0;0;0;nothing
932;00:10:61;0;0;0;-1,920489;0,964113;-0,07008213;0;0;0;nothing
933;00:10:62;0;0;0;-1,915802;0,9646343;-0,06935275;0;0;0;nothing
934;00:10:63;0;0;0;-1,911157;0,9650928;-0,06884456;0;0;0;nothing
935;00:10:64;0;0;0;-1,903611;0,9667312;-0,06715792;0;0;0;nothing
936;00:10:65;0;0;0;-1,898742;0,9672328;-0,06600326;0;0;0;nothing
937;00:10:66;0;0;0;-1,893883;0,9675508;-0,0651508;0;0;0;nothing
938;00:10:67;0;0;0;-1,890336;0,9671279;-0,06475854;0;0;0;nothing
939;00:10:69;0;0;0;-1,885265;0,9674088;-0,06359178;0;0;0;nothing
940;00:10:70;0;0;0;-1,880273;0,9675153;-0,06245703;0;0;0;nothing
941;00:10:71;0;0;0;-1,876255;0,9671103;-0,0616284;0;0;0;nothing
942;00:10:72;0;0;0;-1,870921;0,9672097;-0,06000209;0;0;0;nothing
943;00:10:73;0;0;0;-1,865683;0,9670666;-0,05839592;0;0;0;nothing
944;00:10:74;0;0;0;-1,861334;0,9663793;-0,05705971;0;0;0;nothing
945;00:10:75;0;0;0;-1,855696;0,9662451;-0,0548771;0;0;0;nothing
946;00:10:76;0;0;0;-1,850339;0,9660429;-0,05276948;0;0;0;nothing
947;00:10:77;0;0;0;-1,845281;0,9654286;-0,05054843;0;0;0;nothing
948;00:10:79;0;0;0;-1,839559;0,9651463;-0,04812336;0;0;0;nothing
949;00:10:80;0;0;0;-1,833868;0,9646422;-0,04544652;0;0;0;nothing
